Unnamed: 0,Solvent 1,Solvent 2,q1,q2,r1,r2,x1,x2,T,ismisc
165,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.487788904,0.352977834,300,1
166,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.463666037,0.053194239,300,1
167,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2167435,0.745728418,300,1
168,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.234200375,0.223156122,300,1
169,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.460174335,0.488931391,300,1
170,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.526138651,0.119383012,300,1
171,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.116939513,0.625202541,300,1
172,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.28594051,0.108698587,300,1
173,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.329556397,0.341766141,300,1
174,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.415926328,0.302668319,300,1
175,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.241829377,0.321280003,300,1
176,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.456940887,0.433315113,300,1
177,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.307732178,0.279648363,300,1
178,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.708762348,0.026190689,300,1
179,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.069235522,0.552720959,300,1
180,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.101352629,0.187678822,300,1
181,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.471423082,0.45694614,300,1
182,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.393276285,0.210348979,300,1
183,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.224578406,0.487985019,300,1
184,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.232214598,0.096136371,300,1
185,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.336567101,0.456492057,300,1
186,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.352407464,0.204790506,300,1
187,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.191079953,0.578401576,300,1
188,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.063306853,0.454371137,300,1
189,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.460445271,0.303598656,300,1
190,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.716391306,0.245594267,300,1
191,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.238261216,0.370405924,300,1
